category,subcategory,name,price,skins,colors,description,features,image link,link
makeup,face,Intensive Serum Foundation SPF 40/30,$72.00 ,NA,Alabaster (C-004); Porcelain (N-012); Warm Porcelain (W-016); Ivory (C-024); Warm Ivory (W-026); Cool Ivory (C-026); Sand (N-032); Cool Sand (C-036); Warm Sand (W-036); Beige (N-042); Warm Beige (N-046); Natural (N-052); Natural Tan (W-054); Warm Natural (W-056); Honey (W-064); Warm Honey (W-066); Golden (W-074); Warm Almond (W-086); Almond (C-084); Warm Walnut (W-096); Walnut (W-098); Chestnut (W-108); Espresso (N-112),"Our serum-powered foundation with skincare benefits—infused with 25 skincare ingredients including Cordyceps—provides a plumper and more radiance look instantly and over time. Tone-perfecting, buildable coverage gives skin a seamless, even look that lasts for up to 12 hours.","Boosts skin’s natural energy for visibly healthy-looking, glowing skin with help from reenergizing Cordyceps plus Ginseng.Replenishes moisture levels to plump, soften, and reduce the appearance of fine, dry lines.Provides defense against skin-dulling sun damage, free radicals, pollution, and blue light with the help of broad-spectrum UV filters, Deep Sea Ferment, and Vitamin E.Non-caking, non-creasing, and color-true coverage that’s sweat-, humidity-, and water-resistant.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EME704_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/93890/makeup/face/intensive-serum-foundation-spf-4030/radiance-boosting-foundation#/shade/Natural_%28N-
makeup,face,Foundation Brush,$52.00 ,The woman who wants a polished foundation look.,,"An artistry essential for seamless, second-skin foundation application. Designed to blend, layer, and build coverage of any foundation formula for a polished finish.","Expertly angled design allows for allover application or spot coverage.Brush helps foundation blend seamlessly for a polished, second-skin look.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E3CA01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/8252/makeup/face/foundation-brush
makeup,face,Extra Illuminating Moisture Balm,$69.00 ,NA,Bare Glow,"This lightweight lotion instantly illuminates with pearl particles while revitalizing, softening, and plumping with skincare ingredients, including Hyaluronic Acid, Shea Butter, and Murumuru Seed Butter, to help give skin a healthy-looking glow.","Microfine Pearls instantly boost radiance.Hyaluronic Acid helps instantly hydrate and plump.Shea Butter helps condition skin, while Murumuru Seed Butter helps strengthen skin’s protective barrier.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EHP201_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/55025/makeup/face/extra-illuminating-moisture-balm/ss18#/shade/Bare_Glow
makeup,face,Vitamin Enriched Face Base,$64.00 ,Normal to oily skin types.,,"Skincare made for makeup. Our bestselling multivitamin-enriched moisturizing primer for the face instantly nourishes, plumps, and preps skin with healthy hydration to improve the look of foundation. It’s full makeup prep in one step, blending the performance of a primer with the cushion of a face moisturizer.","A blend of Vitamins B, C, and E helps replenish and condition skin with essential nourishment.A moisturizing complex of Hyaluronic Acid, Squalane, and Shea Butter helps instantly hydrate, plump, and prep skin for a fresh, healthy-looking glow.Rich yet lightweight and fast-absorbing texture cushions skin and grips foundation for smooth, flawless makeup application.Grapefruit and Geranium leave a light, uplifting scent on skin.Real Results*:- 91% said it improved the look of foundation.- 95% said it layers well with makeup, helping makeup apply smoothly and evenly.- 95% said it gripped makeup for flawless application.- 96% said it left skin feeling nourished and conditioned.- 93% said if left skin feeling plumped.- 96% said it left skin looking healthy.- 96% said it left skin feeling moisturized throughout the day.- 95% said it left skin feeling healthy and infused with moisture.*Consumer testing on 123 women after using product for one week.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E1LM01_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/7485/makeup/face/vitamin-enriched-face-base
makeup,face,Skin Long-Wear Weightless Foundation SPF 15,$50.00 ,Ideal for normal to oily skin.,Alabaster  (C-004 / 00); Porcelain  (N-012 / 0); Neutral Porcelain (N-010); Warm Porcelain (W-016); Ivory  (C-024 / 0.75); Warm Ivory  (W-026 / 1); Cool Ivory  (C-026 / 1.25); Sand  (N-032 / 2); Neutral Sand (N-030); Beige  (N-042 / 3); Warm Beige  (W-046 / 3.5); Cool Sand  (C-036 / 2.25); Golden Beige (W-048); Natural  (N-052 / 4); Natural Tan  (N-054 / 4.25); Warm Natural  (W-056 / 4.5); Golden Natural  (W-058 / 4.75); Honey  (W-064 / 5); Neutral Honey (N-060) ; Golden Honey  (W-068 / 5.75); Warm Honey  (W-066 / 5.5); Golden  (W-074 / 6); Warm Golden (W-076); Cool Golden (C-076); Neutral Golden (N-070); Neutral Almond (N-080); Warm Almond  (W-086 / 6.5); Golden Almond  (W-088 / 6.75); Neutral Walnut (N-090); Almond  (C-084 / 7); Cool Almond  (C-086 / 7.25); Warm Walnut  (W-096 / 7.5); Walnut  (W-098 / 8); Cool Walnut  (C-096 / 8.25); Neutral Chestnut (N-100); Cool Chestnut (C-106); Espresso  (N-112 / 10); Cool Espresso  (C-116 / 10.25); Warm Sand  (W-036 / 2.5); Cool Beige (C-046); Cool Natural (C-056); Cool Honey (C-066); Chestnut  (W-108 / 9),"Our 16-hour, skin-true, undertone-correct formula is designed to look as good as it feels—delivering a natural matte, real-skin finish that’s comfortable, breathable, and weightless.","Visibly minimizes pores instantly and strengthens skin’s barrier over time.Hydrates while instantly helping to conceal redness and discoloration.Helps keep excess oil and shine in check, making it a perfect foundation for oily skin.Stays color-true for up to 16 hours.Real Results*:- 96% said skin looked shine-free immediately.- 96% said skin looked smooth immediately.- 91% said skin looked flawless immediately.After 4 weeks of use:- 92% said skin looked more even-toned throughout the day.- 91% said this product left skin looking fresh throughout the day.*Consumer testing on 101 women.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EGXR04_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/55680/makeup/face/skin-long-wear-weightless-foundation-spf-15/16-hour-breathable-natural-matte-coverage#/shade/Natural__%28N-052_%2F
makeup,face,Skin Corrector Stick,$32.00 ,NA,Extra Light Bisque; Light Bisque; Bisque; Dark Bisque; Light Peach; Peach; Dark Peach; Deep Peach; Deep Bisque; Very Deep Bisque; Very Deep Peach; Rich Peach,"Color correction at its most effortless. The glide-on stick helps to instantly neutralize discoloration and brighten dark circles with skin-true coverage. This creamy, buildable formula blends on contact and becomes one with skin for seamless concealer prep.","Color-corrects dark circles and camouflages dark spots for instant brightening and concealer prep. Neutralizes, brightens, and evens skin with skin-true shades. Coffee Seed Extract and Salicornia infuse skin with immediate and long-term moisture for plumper, smoother-looking skin. Stick format glides on for non-creasing, non-settling, non-caking, ultra-comfortable wear. Delivers for 12 hours of waterproof, sweat- and humidity-resistant correction.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EPXL09_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/100908/makeup/face/skin-corrector-stick/ss22#/shade/Bisque
makeup,face,Skin Concealer Stick,$32.00 ,NA,Natural Tan; Walnut; Almond; Warm Honey; Beige; Warm Ivory; Porcelain; Warm Natural; Cool Espresso; Natural; Honey; Cool Sand; Sand; Chestnut; Golden; Ivory; Warm Beige; Espresso,"Our first-of-its kind transformative stick makes great-looking skin look easy. This long-lasting concealer is a natural at instantly reducing the look of dark circles, discoloration, and imperfections for a skin-fresh look. The creamy, emollient-rich formula blends into skin for 12 hours of crease-proof, color-true comfort and layers seamlessly under or over foundation.","Softens and blends on contact for transformative concealing that looks like skin Glides on for sheer-to-full buildable coverage that layers seamlessly under or over foundation. Delivers immediate and long-term moisture for smoother, plumper, healthy-looking skin. Wears for 12 hours of non-creasing, color-true comfort that’s waterproof and sweat- and humidity-resistant.Swipes on effortlessly with its stick format, creamy formula, and rounded tip.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ERFJ11_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/101716/makeup/face/skin-concealer-stick/ss22#/shade/Honey
makeup,face,Intensive Serum Concealer,$45.00 ,NA,Porcelain; Ivory; Warm Ivory; Cool Sand; Sand; Beige; Warm Beige; Warm Natural; Natural; Natural Tan; Warm Honey; Honey; Golden; Almond; Chestnut; Walnut; Espresso,"Beyond weightless coverage, this silky hybrid formula treats as it brightens and evens out the skin tone under the eyes for a fresher, brighter, and more rejuvenated look—instantly.Paraben-free; phthalate-free; sulfate-free; sulfite-free","Benefits & Claims: Formulated with a skin-boosting blend of Cordyceps Mushroom, Indian Tree Root and Bamboo Grass, Intensive Skin Serum Concealer helps visibly counteract the look of dark circles including aging and excess pigmentation; re-energizes the look of tired-looking skin and boosts skin's moisture levels for a plumper, smoother, more refreshed look. Weightless serum texture floats over skin and layers seamlessly over Corrector.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_ETRR08_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/93889/makeup/face/intensive-serum-concealer/fh21#/shade/Natural
makeup,face,Skin Foundation Stick,$50.00 ,All skin tones and types.,Alabaster  (C-004 / 00); Porcelain  (N-012 / 0); Warm Porcelain  (W-016); Neutral Porcelain (N-010); Ivory  (C-024 / 0.75); Warm Ivory  (W-026 / 1); Cool Ivory  (C-026 / 1.25); Sand  (N-032 / 2); Cool Sand  (C-036 / 2.25); Warm Sand  (W-036 / 2.5); Neutral Sand (N-030); Beige  (N-042 / 3); Warm Beige  (W-046 / 3.5); Cool Beige (C-046); Golden Beige (W-048); Natural  (N-052 / 4); Natural Tan  (N-054 / 4.25); Warm Natural  (W-056 / 4.5); Golden Natural  (W-058 / 4.75); Cool Natural (C-056); Neutral Honey (N-060); Honey  (W-064 / 5); Warm Honey  (W-066 / 5.5); Golden Honey  (W-068 / 5.75); Golden  (W-074 / 6); Neutral Golden (N-070); Cool Honey (C-066); Cool Golden (C-076); Warm Almond  (W-086 / 6.5); Golden Almond  (W-088 / 6.75); Neutral Almond (N-080); Almond  (C-084 / 7); Neutral Walnut (N-090); Neutral Chestnut (N-100); Cool Almond  (C-086 / 7.25); Warm Walnut  (W-096 / 7.5); Walnut  (W-098 / 8); Cool Walnut  (C-096 / 8.25); Chestnut  (W-108 / 9); Cool Chestnut (C-106); Espresso  (N-112 / 10); Cool Espresso  (C-116 / 10.25); Warm Golden (W-076),"Our portable moisturizing foundation stick evens out your complexion in one simple step for real-skin coverage—anytime, anyplace. Swipe the weightless, medium-to-full coverage foundation all over or use as a spot concealer for all-day coverage.",Looks like skin and provides a natural-looking finish.Offers instant on-the-go coverage with the convenient stick format.Provides instant moisture with the help of Shea Butter.Real Results:- 82% said Skin Foundation Stick left skin feeling moisturized.After 4 weeks of usage:- 98% found it helped even skin tone.- 97% said it was long-wearing.- 96% found it mimicked the look of healthy skin tone.- 94% found it mimicked the look of healthy skin texture.,https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_EA6C04_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/29723/makeup/face/skin-foundation-stick/ss14#/shade/Natural__%28N-052_%2F
makeup,face,Skin Foundation SPF 15,$50.00 ,"Normal to dry skin types. Anyone who wants a water-based, oil-free foundation with a natural finish.",Alabaster (C-004 / 00); Ivory (C-024 / 0.75); Warm Ivory (W-026 / 1); Natural (N-052 / 4); Golden Natural (W-058 / 4.75); Honey (W-064 / 5); Neutral Honey (N-060); Golden Almond (W-088 / 6.75); Almond (C-084 / 7); Warm Walnut (W-096 / 7.5); Walnut (W-098 / 8); Cool Walnut (C-096 / 8.25); Chestnut (W-108 / 9); Cool Espresso (C-116 / 10.25); Porcelain (N-012 / 0); Cool Ivory (C-026 / 1.25); Sand (N-032 / 2); Cool Sand (C-036 / 2.25); Warm Sand (W-036 / 2.5); Beige (N-042 / 3); Warm Beige (W-046 / 3.5); Natural Tan (W-054 / 4.25); Warm Natural (W-056 / 4.5); Warm Honey (W-066 / 5.5); Golden Honey (W-068 / 5.75); Golden (W-074 / 6); Neutral Golden (N-070); Warm Almond (W-086 / 6.5); Cool Almond (C-086 / 7.25); Espresso (N-112 / 10),"This oil-free, water-based foundation delivers natural-looking coverage and a fresh, hydrated glow for a skin-like finish. A lightweight, long-wearing formula helps minimize imperfections and even skin tone while delivering broad-spectrum UV protection.","Blends seamlessly onto skin for light-to-medium coverage with a weightless feel.Instantly helps to moisturize, plump, and amplify glow,  keeping skin looking and feeling fresh.Helps give a natural, healthy-looking finish thanks to light-reflective ingredients.",https://www.bobbibrowncosmetics.com/media/export/cms/products/600x600/bb_sku_E2LE05_600x600_0.jpg,https://www.bobbibrowncosmetics.com/product/13994/7637/makeup/face/skin-foundation-spf-15/water-based-oil-free-foundation#/shade/Honey_%28W-064_%2F
