name,price,colors,description,features,image link,link
They're Real! Xtreme Precision Liner,$24.00,Black;Brown,"XTREME precision, major versatility!Glide on sleek, ultra-pigmented lines with this waterproof liquid eyeliner featuring a custom 0.1mm tapered brush tip made for comfort & XTREME precision. The brush tip is made of a blend of ultra-fine, firm-yet-flexible bristles for smooth, clean application to create precisely the look you want. From pin-thin definition to bold drama and everything in between...get it ALL lined up! Waterproof Smudge-proof Flake-free Feels weightless Quick-set formula Buildable Satin finish Xtra Black 24-hour wear* 99% said it applies with extreme precision** 98% said it creates clean, crisp lines** 97% said it glides on smoothly** *instrumental test on 20 participants **self-evaluation by 114 participants after 1 week Xtra Brown  12-hour wear* 97% said it applies with extreme precision** 99% said it creates clean, crisp lines** 98% said it glides on smoothly** *instrumental test on 20 participants **self-evaluation by 111 participants after 1 week","-	Specially-designed 0.1mm tapered brush tip for XTREME precision
-	Draws thin AND thick lines for endless looks
-	Waterproof, smudge-proof & longwearing
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/eyeliner/theyre-real-xtreme-precision-liner/theyre-real-xtrme-precision-liner-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-xtreme-precision-liner
BADgal BANG! Waterproof Mascara,$27.00,N;A,"TIPS & TRICKSGet BIG, BAD volume!Gently wiggle wand from base of lashes to tips. Repeat as desired to build volume. Remove with waterproof or bi-phase eye makeup remover.Beauty TipFor the biggest BANG, apply to upper AND lower lashes.","-	Waterproof version of our bestselling volumizing mascara
-	Same 36-hour* volume
-	Custom Slimpact! brush reaches lashes root-to-tip
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/badgal-bang-waterproof-mascara/badgal-bang-waterproof-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/badgal-bang-waterproof
Boi-ing Bright On Concealer,$24.00,Lychee (Light Cool Pink);Nectarine (Light Neutral Yellow);Cantaloupe (Light Warm Yellow);Melon (Medium Warm Pink);Ginger (Medium Warm Yellow);Peach (Medium Warm Peach);Almond (Medium Cool Pink);Apricot (Deep Neutral Yellow);Nutmeg (Deep Peach);Walnut (Deep Tan-Peach);Hazelnut (Deeper Tan-Peach);Clove (Deepest Tan-Peach),"Brighten, color correct and seal in skin hydration...all in one! That’s bright—Boi-ing Bright On Concealer visibly brightens undereyes with red algae extract and Vitamin C derivative, helps hide dark circles with color-correcting pigments, and helps seal in skin hydration with a serum-like formula for a healthy-looking undereye glow. This lightweight concealer blends easily and layers like a dream with Boi-ing Cakeless Concealer for full coverage PLUS brightening! Eyes look brighter Feels lightweight & comfortable Applies & blends easily Buildable coverage Non-caking 8-hour* longwear Waterproof 94% said finish is luminous** 95% said skin looks soft & supple** *instrumental test on 20 participants **self-evaluation by 103 participants after 1 week Available in 12 versatile shades: Lychee light cool pink for blue/gray undereye discoloration Nectarine light neutral yellow for purple/brown undereye discoloration Cantaloupe light warm yellow for purple/brown undereye discoloration Melon medium warm pink for blue/gray undereye discoloration Ginger medium warm yellow for purple/brown undereye discoloration Peach medium warm peach for blue/purple undereye discoloration Almond medium cool pink for blue/gray undereye discoloration Apricot deep neutral yellow for purple/brown undereye discoloration Nutmeg deep peach for blue/purple undereye discoloration Walnut deep tan-peach for blue/purple undereye discoloration Hazelnut deeper tan-peach for deep brown/gray undereye discoloration Clove deepest tan-peach for deep red undereye discoloration","-	Immediately brightens undereyes
-	Color correct dark circles
-	Feels lightweight & silky-smooth
","https://www.benefitcosmetics.com/globalassets/pdps/face/concealer/boi-ing-bright-on-concealer/brighton_component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/boi-ing-bright-on-concealer-undereye-concealer
Boi-ing Cakeless Concealer,$24.00,0.5 - All Good (Fairest Cool);1 - Amaze 'Em (Fair Neutral);2 - Best Life (Fair Warm);2.5 - Big Mood (Fair Cool);3 - Bring It (Light Neutral);4 - Can't Stop (Light Cool);4.25 - Carry On (Light-Medium Cool);4.5 - Do You (Light-Medium Neutral);4.75 - Dream Big (Light Golden);5 - Feel Good (Light Warm);6 - Fly High (Medium Cool);6.25 - Good Vibes (Medium Golden);6.3 - Got This (Medium-Olive Warm);6.4 - Happy Feels (Medium Olive);6.5 - In Charge (Medium Neutral);7 - Jump In (Medium-Tan Warm);8 - Keep On (Medium-Tan Cool);8.25 - Loves It (Medium-Tan Neutral);8.5 - Mic Drop (Medium-Tan Olive);9 - On Point (Tan Warm);9.25 - Pep Talk (Tan Golden);9.5 - Power Up (Deep Neutral);10 - Right On (Deep Warm);11 - Say Yes (Deeper Neutral);12 - Shake It (Deeper Warm);13 - Think Big (Deeper-Dark Neutral);14 - Whole Mood (Dark Neutral);15 - Work It (Dark Cool);16 - You Rule (Deepest-Dark Cool);17 - Your Way (Deepest-Dark Warm),"Craving MORE Cakeless? Now in 30 shades!Our fan-favorite FULL COVERAGE liquid concealer now comes in 30 additional shades to make finding your perfect shade a piece of cake! With the same tried-and-true formula, this multitasking concealer hides it all, from blemishes & discoloration to dark undereye circles, yet feels lightweight and doesn’t cake or crack. The flexible Cushion Tip applies smoothly & blends seamlessly for natural-looking, longwearing coverage. 24-hour longwear* Waterproof** 97% said it looks smooth*** 94% said it doesn’t look cakey*** 95% said it conceals dark undereye circles*** *instrumental test on 20 women**instrumental test on 22 women***self-evaluation by 109 women after 1 week Available in 30 versatile shades: Shade 0.5 All Good - Fairest Cool Shade 1 Amaze 'Em - Fair Neutral Shade 2 Best Life - Fair Warm Shade 3 Bring It - Light Neutral Shade 4 Can't Stop - Light Cool Shade 4.25 Carry On - Light-Medium Cool Shade 4.5 Do You - Light-Medium Neutral Shade 5 Feel Good - Light Warm Shade 6 Fly High - Medium Cool Shade 6.25 Good Vibes - Medium Golden Shade 6.4 Happy Feels - Medium Olive Shade 6.5 In Charge - Medium Neutral Shade 7 Jump In - Medium-Tan Warm Shade 8 Keep On - Medium-Tan Cool Shade 8.25 Loves It - Medium-Tan Neutral Shade 8.5 Mic Drop - Medium-Tan Olive Shade 9.25 Pep Talk - Tan Golden Shade 9.5 Power Up - Deep Neutral Shade 10 Right On - Deep Warm Shade 11 Say Yes - Deeper Neutral Shade 12 Shake It - Deeper Warm Shade 13 Think Big - Deep-Dark Neutral Shade 14 Whole Mood - Dark Neutral Shade 15 Work It - Dark Cool Shade 16 You Rule - Deepest-Dark Cool Shade 17 Your Way - Deepest-Dark Warm","-	Full coverage liquid concealer that doesn’t cake or crack
-	Hides blemishes, discoloration & more
-	Now available in 30 shades!
","https://www.benefitcosmetics.com/globalassets/pdps/face/concealer/boi-ing-cakeless-concealer/boiing-cakeless-concealer-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/boi-ing-cakeless-concealer
The POREfessional: Lite Primer,$32.00,N;A,"Smooth & LITESmooth all over face with fingertips. Use alone or under makeup daily. For touch-ups, pat on lightly and blend over makeup. Beauty Tip The POREfessional: Lite Primer is perfect for blurring pores on “no-makeup” makeup days!","-	Instantly blur & refine the look of pores for 12 hours*
-	Help makeup apply evenly & stay put for 12 hours*
-	Feels weightless & breathable with a refreshing, cooling sensation
","https://www.benefitcosmetics.com/globalassets/pdps/face/primer/the-porefessional-lite-primer/the-porefessional-lite-component1.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/the-porefessional-lite-primer?product=PORELFM294-FULL
They're Real! Magnet Extreme Lengthening Mascara,$27.00,N;A,"EXTREME Lengthening Mascara with a MAGNETIC FORCE!They’re Real! Magnet is a 36-hour lengthening* mascara with a magnetic force that draws out lashes to EXTREME LENGTHS, making them look 40% longer**. The innovative Extender Brush with magnetically charged core pulls the Magnetic Mineral Enriched Formula up & OUT BEYOND the tips of lashes for extreme length & powerful lift. Custom-designed ZigZag bristles are strategically positioned to fan out, separate & define lashes.  93% said it was extremely lengthening*** 95% said it lifts & lengthens lashes up & out*** 93% said it gives lashes fullness AND length*** *Instrumental test on 21 women**Than bare lashes. Instrumental test on 21 women ***Self-evaluation by 110 women after 1 week","-	36-hour lengthening* mascara with a MAGNETIC FORCE
-	Flexible, lightweight & builds easily
-	Draws out lashes to EXTREME LENGTHS, making them look 40% longer**
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/theyre-real-magnet/theyre-real-magnet-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/theyre-real-magnet-extreme-lengthening-mascara?product=TARMAGEM65-FULL
BADgal BANG! Volumizing Mascara,$27.00,N;A,"BADgal BANG! 36 HOUR* FULL-BLAST volumizing mascara creates MASSIVE volume without weighing down lashes. The gravity-defying formula contains aero-particles, one of the lightest known materials, derived from space technology. This innovative intense pitch black mascara layers easily for bigger and BIGGER impact. Its custom big Slimpact! brush is streamlined to reach root-to-tip, corner-to-corner, upper and lower lashes for BIG VOLUME WITH 360° REACH!*instrumental test on 21 women Smudge-proof, water-resistant, volumizing mascara 90% saw dramatic volume** 94% said it instantly lifted lashes** 92% said it lengthened lashes** ProVitamin B5 known to fuel thickness & strength **self-evaluation by 102 women after 1 week","-	Contains aero-particles
-	Smudge-proof and water-resistant
-	Custom Slimpact! brush
","https://www.benefitcosmetics.com/globalassets/pdps/eyes/mascara/badgal-bang-volumizing-mascara/badgal-bang-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/badgal-bang-volumizing-mascara?product=BADGALEM43-FULL
24-HR Brow Setter Clear Brow Gel,$24.00,N;A,"For a natural look, groom & define brows with the long bristles to evenly coat each hair.For a feathered look, lift & smooth hairs upwards & outwards using the short bristles.For a brow lamination effect, press hairs against skin to lock them in place using the flat edge.","-	Shapes & tames eyebrows
-	Flexible, flake-free formula
-	Custom-molded dual-sized wand
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/24-hour-brow-setter/24-hour-brow-setter-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/24-hour-brow-setter-clear-brow-gel?product=24HOUBM66-FULL
POWmade Brow Pomade,$20.00,02 - Warm golden blonde;2.5 - Neutral blonde;03 - Warm light brown;3.5 - Neutral medium brown;3.75 - Warm medium brown;04 - Warm deep brown;4.5 - Neutral deep brown;05 - Warm black-brown,"Your BEST brows. Stress-free, mess-free! Dip your Dual-Ended Angled Eyebrow Brush (sold separately) into jar & wipe off excess product on built-in brush wiper. Stroke onto brows & blend with spoolie. Keep jar tightly closed when not in use. BEAUTY TIP: Use a lighter shade of Precisely, My Brow Pencil to add hair-like strokes to the front of your brow for a natural-looking ombre effect.","-	36-hour* brow pomade to fill, sculpt & define brows
-	Waterproof**, smudge-proof** formula won’t dry out***!
-	Built-in brush wiper for clean, controlled application
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-gel/powmade-brow-pomade/powmade-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/powmade-brow-pomade
Brow Microfilling Pen,$25.00,2 - Blonde;3 - Light brown;3.5 - Medium brown;5 - Deep brown,"The microbladed look made easy! Brow Microfilling Pen creates the illusion of natural brow hair with 3 ultra-fine lines in a single stroke. It's designed to blend in with existing hairs, fill in gaps AND make brows appear where before there were none. The easy-to-apply formula of this brow pen looks natural and is waterproof*, smudge-proof and longwearing, creating a microbladed effect that lasts for 24 hours*. No pain, no commitment, just great brows! Creates a 24-hour* Microbladed Effect 3-prong tip with 3 different lengths mimics natural brow hair Comes in 4 versatile shades 92% said it was easy to apply** 96% said brows looked thicker** 91% said it draws hair-like strokes** *Instrumental test on 22 women**Self-evaluation by 104 women after 1 week The sheer tint formula comes in 4 versatile shades that flatter warm, cool & neutral undertones: Blonde Light Brown Medium Brown Deep Brown","-	Available in 4 versatile shades!
-	Mimics natural brow hair
-	Smudge-proof and longwearing
","https://www.benefitcosmetics.com/globalassets/pdps/brows/brow-pencil/brow-microfilling-pen/brow-microfilling-pen-component.png?width=300&height=350&mode=crop&center=0.5,0.5",https://www.benefitcosmetics.com/en-us/product/brow-microfilling-pen
